Question
Compare the selected companies' target years to become net-zero emission businesses. 
How do companies manage and reduce waste and promote recycling?
Compare the companies' investment in renewable energy sources or energy efficient measures.
"Are the companies following recognized ESG reporting standards, like GRI and SASB in their reporting?"
